,Unnamed: 0,business_id,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0,--8LPVSo5i0Oo61X01sV9A,0,0,0,0,1,0,0
1,1,--9QQLMTbFzLJ_oT-ON3Xw,1,5,5,2,6,11,7
2,2,--FLdgM0GNpXVMn74ppCGw,7,1,1,4,1,0,0
3,3,--KQsXc-clkO7oHRqGzSzg,59,102,104,106,113,156,138
4,4,--Rsj71PBe31h5YljVseKA,37,41,31,31,37,69,57
5,5,--ab39IjZR_xUf81WyTyHg,7,8,7,9,3,21,12
6,6,--g-a85VwrdZJNf0R95GcQ,2,4,6,4,2,6,2
7,7,--orEUqwTzz5QKbmyYbAWw,0,0,0,0,0,1,0
8,8,--phjqoPSPa8sLmUVNby9w,6,13,9,6,11,1,0
9,9,--ttCFj_csKJhxnaMRNuiw,3,4,6,3,3,0,0
10,10,-000aQFeK6tqVLndf7xORg,0,0,1,0,0,0,0
11,11,-01XupAWZEXbdNbxNg5mEg,30,31,50,34,42,64,56
12,12,-050d_XIor1NpCuWkbIVaQ,109,168,148,155,196,364,344
13,13,-092wE7j5HZOogMLAh40zA,6,7,10,13,11,17,11
14,14,-0GU6ghA7z4-xotUZfXl1w,11,10,5,11,8,8,6
15,15,-0KqNhmK40DTzwUPM_Ik9g,26,19,16,12,2,28,32
16,16,-0Sgh0QlUKVsWosCWJzGqQ,7,8,9,1,4,10,4
17,17,-0WegMt6Cy966qlDKhu6jA,21,47,52,29,27,106,87
18,18,-0YY5yQ3ufLB6EoPBsHGig,0,0,1,1,0,0,0
19,19,-0aIra_B6iALlfqAriBSYA,7,11,8,19,13,9,6
20,20,-0jz6c3C6i7RG7Ag22K-Pg,0,0,1,0,0,2,0
21,21,-0t6o9LXMVQ3aV8CHhRTnA,45,25,45,39,38,96,82
22,22,-0tgMGl7D9B10YjSN2ujLA,60,74,60,78,123,234,180
23,23,-11PbySWhJQtK6USx4IP2A,15,14,14,7,11,22,14
24,24,-1BPe8UjF2_l3nVk-DFUjA,0,0,1,2,0,0,0
25,25,-1UMR00eXtwaeh59pEiDjA,131,114,106,135,159,112,134
26,26,-1VaIJza42Hjev6ukacCNg,51,51,49,45,72,86,117
27,27,-1Vsn0h_Sju8xbospJDwQw,0,17,5,16,4,12,12
28,28,-1X2bBZAN1xfUxRXKPrxlQ,1,1,2,4,2,5,2
29,29,-1XjZKmJbfAB1ZrAfeWMZg,0,0,1,0,0,0,0
30,30,-1mjIwXWiI1uzy-8nGkdkw,0,0,0,0,0,6,6
31,31,-1sjyJNHTqFgM7GZGK7L7A,1,0,0,2,1,2,0
32,32,-1z-cvNWGM66kKTVNHK9Ww,2,4,12,5,17,3,0
33,33,-20nZ6ztmBxGW4sOY7JPHA,0,1,0,1,0,3,4
34,34,-2A9emZwBK8zYHPnAmM0hw,0,2,2,3,4,2,0
35,35,-2KAjVCxfQ2YsmuXYLNEpw,1,2,0,2,0,0,1
36,36,-2MFmbCTycnU4uPJ7jXfcA,0,0,1,0,0,0,0
37,37,-2TKoFglMQvSmHSNWf6S8Q,0,2,0,2,1,1,0
38,38,-2UWYfzeK65e6naWSEUz7g,0,2,2,1,3,1,0
39,39,-2X9U7v-Avoib-ki0y85bA,0,0,1,2,0,0,0
40,40,-2YIg-PAgCMXMLxw53T29Q,10,9,5,5,5,7,1
41,41,-2bLuJsMZ0WhI9daurVQNQ,1,0,0,0,1,0,0
42,42,-2isRNVb6PDuBagELL5EBw,11,11,11,16,7,11,8
43,43,-2qfXy3hcWG0GEcE8QUKQw,0,2,0,2,0,2,0
44,44,-2uhc4spgMqJMy0YSxConA,2,0,0,1,0,1,0
45,45,-2wfiUn6AZm2KO0FJYakVQ,1,7,11,4,5,8,1
46,46,-34vSRcMz_RjN00dWIiQ3Q,1,2,1,1,2,2,0
47,47,-37_L44VjFw1U4tBfBDHRw,0,1,2,0,1,2,2
48,48,-39fXC2a0X5gy-p198Z8rg,3,3,1,4,4,0,0
49,49,-3D6AMz5nfIN6V4won4i-g,11,9,8,3,4,9,5
50,50,-3K14kIKBH3gBOLf8-XFsg,0,1,1,3,0,0,0
51,51,-3ediinjso_7dsWsxmXbXA,6,10,16,14,12,0,0
52,52,-3nQmCeSyw8b2NKmeNtitQ,4,3,3,3,2,3,7
53,53,-3oxnPPPU3YoxO9M1I2idg,21,22,30,22,29,33,34
54,54,-3vXcKzJA_kVZDM8Yn3w_Q,0,1,0,2,0,0,2
55,55,-4-2NZvqC68eOCiwmCQTiQ,0,0,1,0,0,1,0
56,56,-45kMvS7h38CGaWugPY0rg,9,11,13,13,15,31,34
57,57,-461KOozus5M0Px02uyRgg,6,9,6,6,3,11,10
58,58,-4D9-1MH7DEFcaFC6mjCjg,0,0,0,0,0,0,1
59,59,-4G-LJhOeTbAfQuaxCYeHA,1,1,3,4,0,0,0
60,60,-4TMQnQJW1yd6NqGRDvAeA,92,77,67,149,148,257,294
61,61,-4_n--u4Z_SBbgz1zUKpYw,12,11,20,13,16,16,20
62,62,-4bpDsuRmpjWjxrtdYfJQA,3,5,14,9,10,23,9
63,63,-4dzsToZl39O95C5KWbJbg,2,1,1,2,1,0,0
64,64,-4g68Hwm892_KPUuW5g1_Q,20,15,21,23,13,29,21
65,65,-4h-Q_DSBq5cE1f6j35uFg,0,0,2,0,1,0,0
66,66,-4kOf3wcZp5bvxORgsW1gA,9,4,2,5,10,10,2
