categories,business_id,name,longitude,latitude,stars
"Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food",1Dfx3zM-rW4n-31KeC8sJg,Taco Bell,-112.0285876,33.4951941,3.0
"Chinese, Restaurants",44YFU284Z3KDEy25QyVoUw,Nee House Chinese Restaurant,-111.9770357,33.61302019,3.5
"Restaurants, Food, Cafes",ysfeDcLAYk_MVzfBmyiSTg,Vals Getaway DES Cafeteria,-112.0971288,33.446805499999996,3.0
"American (New), Bars, Wine Bars, Nightlife, Restaurants",r8764MtYyt8JhxMvrfM_xQ,Vintage 95,-111.8426128,33.30209310000001,4.0
"Restaurants, Mexican",voZnDQs6Hs3YpNcS-9TALg,New Mexican Grill,-111.790815,33.261325,4.0
"Seafood, Restaurants",nsNONDHbV7Vudqh21uicqw,Salt Cellar,-111.909405,33.454285999999996,3.5
"Restaurants, Mexican, Sushi Bars",Rs8Wi4OEjeOX7LVlzsXDOA,Sushi Mocorito,-112.1329258,33.5371638,3.0
"Chinese, Restaurants",MhnihE0alud0ereVInSt8Q,Yummy Yummy Chinese Restaurant,-111.92548400000001,33.478753999999995,3.0
"Burgers, Restaurants",FDEm-c3NAXnTVtl-hgzAhA,Heart Attack Grill,-111.948079,33.3047634,3.0
"Chinese, Restaurants",Sd75ucXKoZUM2BEfBHFUOg,China Gourmet,-111.75603590000001,33.39486287,3.0
"Restaurants, Pizza, Sandwiches, Italian",dUffgo9Lh_Vk9TLuFR5ywg,Oregano's Pizza Bistro,-112.06023799999998,33.50951,3.5
"Mexican, Restaurants",c7JoAt6a3Ufkpn3TrGU23A,Santanas Mexican Food,-112.10126670000001,33.436984,3.0
"Fast Food, Restaurants, Burgers, Food",vg4ynLZ0yJ89pT4s_CEMzQ,Five Guys,-112.03101310000001,33.37869892,3.5
"Restaurants, Italian, Pizza, Fast Food, Chicken Wings",e-9f6vasnWh3z0uOq287Aw,Pizza Hut,-112.046931,33.479506,2.0
"Asian Fusion, Japanese, Restaurants, Ramen, Tapas Bars",ecJri9ozyke4dOCWulZiRQ,Nishikawa Ramen,-111.8096749,33.320005699999996,4.0
"Restaurants, Fast Food, Chicken Wings",U1iF2RC18uBgBe01z5BMXw,Church's Chicken,-112.23500449999999,33.5788804,2.0
"Food, Beer, Wine & Spirits, Restaurants, Barbeque, Local Flavor, American (Traditional)",trMrmg0EKcxEYAkqLBbRMA,Piggly's At the Fair,-111.80411000000001,33.38449,3.0
