business_id,negative_review_count,neutral_review_count,positive_review_count
-01XupAWZEXbdNbxNg5mEg,63.0,6.0,34.0
-050d_XIor1NpCuWkbIVaQ,531.0,55.0,139.0
-092wE7j5HZOogMLAh40zA,57.0,7.0,34.0
-0Sgh0QlUKVsWosCWJzGqQ,43.0,3.0,3.0
-0WegMt6Cy966qlDKhu6jA,89.0,6.0,7.0
-0aIra_B6iALlfqAriBSYA,14.0,2.0,17.0
-0tgMGl7D9B10YjSN2ujLA,79.0,8.0,49.0
-1UMR00eXtwaeh59pEiDjA,288.0,21.0,109.0
-1VaIJza42Hjev6ukacCNg,129.0,12.0,79.0
-2A9emZwBK8zYHPnAmM0hw,7.0,1.0,1.0
-2isRNVb6PDuBagELL5EBw,17.0,0.0,7.0
-34vSRcMz_RjN00dWIiQ3Q,12.0,1.0,4.0
-3oxnPPPU3YoxO9M1I2idg,70.0,9.0,52.0
-3vXcKzJA_kVZDM8Yn3w_Q,2.0,0.0,2.0
-45kMvS7h38CGaWugPY0rg,54.0,8.0,29.0
-4TMQnQJW1yd6NqGRDvAeA,232.0,18.0,149.0
-4g68Hwm892_KPUuW5g1_Q,35.0,3.0,5.0
-4w2eZqQJcS-UNuB1lCPFA,3.0,1.0,1.0
-5brzniWtye3w__aEvCaAA,4.0,0.0,3.0
-6h3K1hj0d4DRcZNUtHDuw,310.0,33.0,209.0
-6tvduBzjLI1ISfs3F_qTg,663.0,74.0,457.0
-79cl_yASWXiv7RmzirNxA,16.0,1.0,8.0
-7HB0UjguXW8csOH9svG4Q,42.0,4.0,3.0
-7d3UqQYYcBxbDH2do86sg,55.0,7.0,11.0
-8JaNeG3etLgOVyg2gOIiA,41.0,2.0,20.0
-8QlV3b_9H4BAh6LgMIr1g,250.0,23.0,220.0
-9eNGMp8XiygI8t8QFuFWw,189.0,10.0,124.0
-9nai28tnoylwViuJVrYEQ,303.0,24.0,177.0
-9xZZLLxuQabvBDODqpM-g,5.0,0.0,14.0
-Bdw-5H5C4AYSMGnAvmnzw,333.0,42.0,263.0
-BxWyEIQ6wypT-37MzZizQ,237.0,17.0,149.0
-GpTZfp2qxyV-20Vu9_mBg,53.0,6.0,24.0
-Wxje8_M3S-0wIwdub9Kug,33.0,1.0,2.0
-cBQKodqi77Q0vk-9iDvQA,146.0,12.0,75.0
-hMdEBaeky47g4D8-0Xl3Q,66.0,7.0,31.0
-o0xWAEO-C2oqlyt9TO8qg,28.0,1.0,16.0
-r-PA7uWXbpRPeuIZzO3bw,19.0,2.0,10.0
-raUM9T-1dKPiB5_vRmFYA,153.0,10.0,51.0
0-CXwwVL-u0tc0FOuSExWQ,64.0,8.0,51.0
0-TtzWmjREl7lIKDcmGONQ,7.0,0.0,2.0
0-jOHUgup-CwkLULBCm2RQ,9.0,1.0,2.0
0-u2co3RvfOogEnx6EJe9w,24.0,2.0,36.0
007FFjmDHkT9cLE6O4Cqxg,18.0,1.0,4.0
00sR6me0b3BvxIUcDKLWOw,3.0,1.0,2.0
00so-3NuawQ98XKLPMVFLg,5.0,0.0,0.0
01Gav7vnilRwSVm3WwkAtA,5.0,0.0,2.0
01cFftHZc98jNJfJrLEJ5g,88.0,4.0,63.0
01xTdrNUuTOAyH7NaRWcUA,217.0,14.0,104.0
01xXe2m_z048W5gcBFpoJA,49.0,5.0,24.0
024QUHVU7nlyW5y2BeeGLg,167.0,13.0,95.0
027RqMRWhGy5NUsxEl5rfQ,7.0,1.0,3.0
02EYqwh47uVxOaOKrnx8SQ,192.0,20.0,93.0
02GctEso08hyhQpkqOftsw,34.0,3.0,12.0
02d6s2cnDKLllR4f3ykPug,43.0,8.0,18.0
02eESJZNF3qigrJ3GNRgIQ,12.0,1.0,7.0
02hhtAO83rZBU1hflleElA,49.0,8.0,47.0
02ooNKJDjsE50KfmL0Rqdw,18.0,1.0,1.0
02zH3RnRvBWfMoBUqtzfsg,7.0,0.0,1.0
036SeqOKaKx89Liw5RDKqA,27.0,2.0,5.0
03eJ6dfI2P5T-ADdsNpHZg,10.0,0.0,5.0
042IHd5KjHiMuBtGtugO_g,298.0,40.0,274.0
04Iq42i8lm50Lvdj1j3DCQ,4.0,0.0,0.0
04L9uKk6OixQ7ForUfPQLw,3.0,0.0,13.0
04YqYgoW2ZztLpxmhEJ43Q,5.0,1.0,0.0
04ZtW6rq8rPYD-kLhNY2_Q,64.0,6.0,38.0
