business_id,stars,star_count
-01XupAWZEXbdNbxNg5mEg,1.0,22
-01XupAWZEXbdNbxNg5mEg,2.0,16
-01XupAWZEXbdNbxNg5mEg,3.0,20
-01XupAWZEXbdNbxNg5mEg,4.0,23
-01XupAWZEXbdNbxNg5mEg,5.0,22
-050d_XIor1NpCuWkbIVaQ,1.0,33
-050d_XIor1NpCuWkbIVaQ,2.0,51
-050d_XIor1NpCuWkbIVaQ,3.0,98
-050d_XIor1NpCuWkbIVaQ,4.0,247
-050d_XIor1NpCuWkbIVaQ,5.0,296
-092wE7j5HZOogMLAh40zA,1.0,24
-092wE7j5HZOogMLAh40zA,2.0,10
-092wE7j5HZOogMLAh40zA,3.0,9
-092wE7j5HZOogMLAh40zA,4.0,22
-092wE7j5HZOogMLAh40zA,5.0,33
-0Sgh0QlUKVsWosCWJzGqQ,1.0,29
-0Sgh0QlUKVsWosCWJzGqQ,2.0,6
-0Sgh0QlUKVsWosCWJzGqQ,3.0,4
-0Sgh0QlUKVsWosCWJzGqQ,4.0,6
-0Sgh0QlUKVsWosCWJzGqQ,5.0,4
-0WegMt6Cy966qlDKhu6jA,1.0,45
-0WegMt6Cy966qlDKhu6jA,2.0,25
-0WegMt6Cy966qlDKhu6jA,3.0,19
-0WegMt6Cy966qlDKhu6jA,4.0,9
-0WegMt6Cy966qlDKhu6jA,5.0,4
-0aIra_B6iALlfqAriBSYA,2.0,3
-0aIra_B6iALlfqAriBSYA,3.0,1
-0aIra_B6iALlfqAriBSYA,4.0,1
-0aIra_B6iALlfqAriBSYA,5.0,28
-0tgMGl7D9B10YjSN2ujLA,1.0,21
-0tgMGl7D9B10YjSN2ujLA,2.0,15
-0tgMGl7D9B10YjSN2ujLA,3.0,24
-0tgMGl7D9B10YjSN2ujLA,4.0,44
-0tgMGl7D9B10YjSN2ujLA,5.0,32
-1UMR00eXtwaeh59pEiDjA,1.0,91
-1UMR00eXtwaeh59pEiDjA,2.0,51
-1UMR00eXtwaeh59pEiDjA,3.0,49
-1UMR00eXtwaeh59pEiDjA,4.0,92
-1UMR00eXtwaeh59pEiDjA,5.0,135
-1VaIJza42Hjev6ukacCNg,1.0,21
-1VaIJza42Hjev6ukacCNg,2.0,27
-1VaIJza42Hjev6ukacCNg,3.0,21
-1VaIJza42Hjev6ukacCNg,4.0,53
-1VaIJza42Hjev6ukacCNg,5.0,98
-2A9emZwBK8zYHPnAmM0hw,1.0,3
-2A9emZwBK8zYHPnAmM0hw,2.0,1
-2A9emZwBK8zYHPnAmM0hw,3.0,2
-2A9emZwBK8zYHPnAmM0hw,4.0,2
-2A9emZwBK8zYHPnAmM0hw,5.0,1
-2isRNVb6PDuBagELL5EBw,1.0,7
-2isRNVb6PDuBagELL5EBw,2.0,4
-2isRNVb6PDuBagELL5EBw,3.0,4
-2isRNVb6PDuBagELL5EBw,4.0,1
-2isRNVb6PDuBagELL5EBw,5.0,8
-34vSRcMz_RjN00dWIiQ3Q,1.0,10
-34vSRcMz_RjN00dWIiQ3Q,2.0,1
-34vSRcMz_RjN00dWIiQ3Q,5.0,6
-3oxnPPPU3YoxO9M1I2idg,1.0,7
-3oxnPPPU3YoxO9M1I2idg,2.0,10
-3oxnPPPU3YoxO9M1I2idg,3.0,9
-3oxnPPPU3YoxO9M1I2idg,4.0,21
-3oxnPPPU3YoxO9M1I2idg,5.0,84
-3vXcKzJA_kVZDM8Yn3w_Q,2.0,1
-3vXcKzJA_kVZDM8Yn3w_Q,4.0,1
-3vXcKzJA_kVZDM8Yn3w_Q,5.0,2
-45kMvS7h38CGaWugPY0rg,1.0,4
-45kMvS7h38CGaWugPY0rg,2.0,12
-45kMvS7h38CGaWugPY0rg,3.0,12
-45kMvS7h38CGaWugPY0rg,4.0,20
-45kMvS7h38CGaWugPY0rg,5.0,43
-4TMQnQJW1yd6NqGRDvAeA,1.0,28
-4TMQnQJW1yd6NqGRDvAeA,2.0,40
-4TMQnQJW1yd6NqGRDvAeA,3.0,32
-4TMQnQJW1yd6NqGRDvAeA,4.0,73
-4TMQnQJW1yd6NqGRDvAeA,5.0,226
-4g68Hwm892_KPUuW5g1_Q,1.0,13
-4g68Hwm892_KPUuW5g1_Q,2.0,8
-4g68Hwm892_KPUuW5g1_Q,3.0,6
-4g68Hwm892_KPUuW5g1_Q,4.0,10
-4g68Hwm892_KPUuW5g1_Q,5.0,6
-4w2eZqQJcS-UNuB1lCPFA,1.0,2
-4w2eZqQJcS-UNuB1lCPFA,3.0,1
-4w2eZqQJcS-UNuB1lCPFA,4.0,1
-4w2eZqQJcS-UNuB1lCPFA,5.0,1
-5brzniWtye3w__aEvCaAA,1.0,2
-5brzniWtye3w__aEvCaAA,2.0,1
-5brzniWtye3w__aEvCaAA,5.0,4
-6h3K1hj0d4DRcZNUtHDuw,1.0,57
-6h3K1hj0d4DRcZNUtHDuw,2.0,69
-6h3K1hj0d4DRcZNUtHDuw,3.0,76
-6h3K1hj0d4DRcZNUtHDuw,4.0,151
-6h3K1hj0d4DRcZNUtHDuw,5.0,199
-6tvduBzjLI1ISfs3F_qTg,1.0,70
-6tvduBzjLI1ISfs3F_qTg,2.0,131
-6tvduBzjLI1ISfs3F_qTg,3.0,155
-6tvduBzjLI1ISfs3F_qTg,4.0,358
-6tvduBzjLI1ISfs3F_qTg,5.0,480
-79cl_yASWXiv7RmzirNxA,1.0,8
-79cl_yASWXiv7RmzirNxA,2.0,2
-79cl_yASWXiv7RmzirNxA,3.0,2
-79cl_yASWXiv7RmzirNxA,4.0,4
-79cl_yASWXiv7RmzirNxA,5.0,9
-7HB0UjguXW8csOH9svG4Q,1.0,33
-7HB0UjguXW8csOH9svG4Q,2.0,5
-7HB0UjguXW8csOH9svG4Q,3.0,4
-7HB0UjguXW8csOH9svG4Q,4.0,2
-7HB0UjguXW8csOH9svG4Q,5.0,5
-7d3UqQYYcBxbDH2do86sg,1.0,9
-7d3UqQYYcBxbDH2do86sg,2.0,15
-7d3UqQYYcBxbDH2do86sg,3.0,9
-7d3UqQYYcBxbDH2do86sg,4.0,23
-7d3UqQYYcBxbDH2do86sg,5.0,17
-8JaNeG3etLgOVyg2gOIiA,1.0,6
-8JaNeG3etLgOVyg2gOIiA,2.0,6
-8JaNeG3etLgOVyg2gOIiA,3.0,7
-8JaNeG3etLgOVyg2gOIiA,4.0,20
-8JaNeG3etLgOVyg2gOIiA,5.0,24
-8QlV3b_9H4BAh6LgMIr1g,1.0,42
-8QlV3b_9H4BAh6LgMIr1g,2.0,20
-8QlV3b_9H4BAh6LgMIr1g,3.0,37
-8QlV3b_9H4BAh6LgMIr1g,4.0,99
-8QlV3b_9H4BAh6LgMIr1g,5.0,295
-9eNGMp8XiygI8t8QFuFWw,1.0,39
-9eNGMp8XiygI8t8QFuFWw,2.0,44
-9eNGMp8XiygI8t8QFuFWw,3.0,25
-9eNGMp8XiygI8t8QFuFWw,4.0,56
-9eNGMp8XiygI8t8QFuFWw,5.0,159
-9nai28tnoylwViuJVrYEQ,1.0,76
-9nai28tnoylwViuJVrYEQ,2.0,60
-9nai28tnoylwViuJVrYEQ,3.0,61
-9nai28tnoylwViuJVrYEQ,4.0,120
-9nai28tnoylwViuJVrYEQ,5.0,187
-9xZZLLxuQabvBDODqpM-g,3.0,2
-9xZZLLxuQabvBDODqpM-g,4.0,2
-9xZZLLxuQabvBDODqpM-g,5.0,15
-Bdw-5H5C4AYSMGnAvmnzw,1.0,12
-Bdw-5H5C4AYSMGnAvmnzw,2.0,32
-Bdw-5H5C4AYSMGnAvmnzw,3.0,45
-Bdw-5H5C4AYSMGnAvmnzw,4.0,164
-Bdw-5H5C4AYSMGnAvmnzw,5.0,385
-BxWyEIQ6wypT-37MzZizQ,1.0,26
-BxWyEIQ6wypT-37MzZizQ,2.0,22
-BxWyEIQ6wypT-37MzZizQ,3.0,76
-BxWyEIQ6wypT-37MzZizQ,4.0,152
-BxWyEIQ6wypT-37MzZizQ,5.0,127
-GpTZfp2qxyV-20Vu9_mBg,1.0,7
-GpTZfp2qxyV-20Vu9_mBg,2.0,8
-GpTZfp2qxyV-20Vu9_mBg,3.0,13
-GpTZfp2qxyV-20Vu9_mBg,4.0,20
-GpTZfp2qxyV-20Vu9_mBg,5.0,35
-Wxje8_M3S-0wIwdub9Kug,1.0,24
-Wxje8_M3S-0wIwdub9Kug,2.0,5
-Wxje8_M3S-0wIwdub9Kug,3.0,3
-Wxje8_M3S-0wIwdub9Kug,4.0,2
-Wxje8_M3S-0wIwdub9Kug,5.0,2
-cBQKodqi77Q0vk-9iDvQA,1.0,37
-cBQKodqi77Q0vk-9iDvQA,2.0,21
-cBQKodqi77Q0vk-9iDvQA,3.0,39
-cBQKodqi77Q0vk-9iDvQA,4.0,57
-cBQKodqi77Q0vk-9iDvQA,5.0,79
-hMdEBaeky47g4D8-0Xl3Q,1.0,28
-hMdEBaeky47g4D8-0Xl3Q,2.0,13
-hMdEBaeky47g4D8-0Xl3Q,3.0,10
-hMdEBaeky47g4D8-0Xl3Q,4.0,20
-hMdEBaeky47g4D8-0Xl3Q,5.0,33
-o0xWAEO-C2oqlyt9TO8qg,1.0,2
-o0xWAEO-C2oqlyt9TO8qg,2.0,3
-o0xWAEO-C2oqlyt9TO8qg,3.0,9
-o0xWAEO-C2oqlyt9TO8qg,4.0,21
-o0xWAEO-C2oqlyt9TO8qg,5.0,10
-r-PA7uWXbpRPeuIZzO3bw,1.0,10
-r-PA7uWXbpRPeuIZzO3bw,2.0,3
-r-PA7uWXbpRPeuIZzO3bw,3.0,4
-r-PA7uWXbpRPeuIZzO3bw,4.0,5
-r-PA7uWXbpRPeuIZzO3bw,5.0,9
-raUM9T-1dKPiB5_vRmFYA,1.0,29
-raUM9T-1dKPiB5_vRmFYA,2.0,19
-raUM9T-1dKPiB5_vRmFYA,3.0,34
-raUM9T-1dKPiB5_vRmFYA,4.0,58
-raUM9T-1dKPiB5_vRmFYA,5.0,74
0-CXwwVL-u0tc0FOuSExWQ,1.0,14
0-CXwwVL-u0tc0FOuSExWQ,2.0,8
0-CXwwVL-u0tc0FOuSExWQ,3.0,9
0-CXwwVL-u0tc0FOuSExWQ,4.0,25
0-CXwwVL-u0tc0FOuSExWQ,5.0,67
0-TtzWmjREl7lIKDcmGONQ,1.0,6
0-TtzWmjREl7lIKDcmGONQ,5.0,3
0-jOHUgup-CwkLULBCm2RQ,1.0,7
0-jOHUgup-CwkLULBCm2RQ,2.0,2
0-jOHUgup-CwkLULBCm2RQ,5.0,3
0-u2co3RvfOogEnx6EJe9w,2.0,1
0-u2co3RvfOogEnx6EJe9w,3.0,6
0-u2co3RvfOogEnx6EJe9w,4.0,3
0-u2co3RvfOogEnx6EJe9w,5.0,52
007FFjmDHkT9cLE6O4Cqxg,1.0,6
007FFjmDHkT9cLE6O4Cqxg,2.0,6
007FFjmDHkT9cLE6O4Cqxg,3.0,3
007FFjmDHkT9cLE6O4Cqxg,4.0,5
007FFjmDHkT9cLE6O4Cqxg,5.0,3
00sR6me0b3BvxIUcDKLWOw,1.0,1
